created_date,title,id,url,perf_flag,importance,summary_5lines
2023-01-03,[23/01/03] 내일배움캠프 모집 킥오프,ccb3d285-1d36-464b-8d9c-c7dbaed4850e,https://www.notion.so/23-01-03-ccb3d2851d36464b8d9cc7dbaed4850e,yes,5,"[1] 훨씬 깔끔하고, 널처링 할 수 있는 퍼널
지원 퍼널
지원퍼널 nurturing
지난기수 문제:
내부 모집마감 목표: 2월 14일(화)"
2023-01-03,[23/01/04] 부트캠프 통합 블로그 킥오프,2c10abcd-63ff-4b0d-a5f9-e392880ac084,https://www.notion.so/23-01-04-2c10abcd63ff4b0da5f9e392880ac084,yes,5,"이슈 제거 (에디터와 노출의 행간차이, 배포시간 등등)
P0항해를 기본으로 작업을 해야할 것
P0(+) 플로팅 버튼이 잘 안보인다.
P0(+) 공유 버튼 ui → 지금의 스파르타 톤앤매너에 맞추기
P2(+) 본문 진입 시, 최상단에 해당 게시글의 진입 경로 표기 (노션처럼)"
2023-01-05,[23/01/05] 내일배움캠프 랜딩 1차 기획,692ff0ad-f400-477a-990d-0f53cb9356d2,https://www.notion.so/23-01-05-1-692ff0adf400477a990d0f53cb9356d2,yes,5,"div1 (전체 3줄 요약)
메인 카피 내일배움캠프 3줄 요약
수료율 + 취업률 (다른 국비지원 지표 함께)
div8(결과물)
결과 제시"
2023-01-09,(구)그로스팀,f13ff966-3b23-4136-a8ad-b7666308cc4f,https://www.notion.so/f13ff9663b234136a8adb7666308cc4f,yes,5,"(2) 실패를 두려워하지 않는 실험을 통해 10x 상방을 타격하도록
딱 1시간만 시간을 내보세요. 함께 고민하고 해결을 도와드릴게요.
(1) 기계화를 통해 눈을 감아도 매출이 성장하도록
[https://studiomeal.com/archives/197](https://studiomeal.com/archives/197)
[https://studiomeal.com/archives/533](https://studiomeal.com/archives/533)"
2023-01-09,[23/01/10] 그로스 파트 주간회의,67c9ba30-25ed-4cd8-b1eb-23a245e44db7,https://www.notion.so/23-01-10-67c9ba3025ed4cd8b1eb23a245e44db7,yes,5,"P0 수강료 Div A/B Test ETA 1/11
기소지자의 수강신청률이 가장 많이 깨진 퍼널로, 전환률 13.9% (전주 대비 -2.5%p)
랜딩 - 전환율 10% 하락, 자소서 길이 40% 올라감 - A가 이긴 것으로.  (log - length +)
퍼널 이탈자 정책 설계 기획 완료 ETA 1/13 금
결제 - 비슷. B가 조금 더 우수. 간결한 버전. 같은 전환율이면 정보의 양이 더 적은 것이 우수."
2023-01-11,[23/01/12] 내배캠 개발 회의,83db99c7-f796-43b2-865e-2a1a2f80d9e0,https://www.notion.so/23-01-12-83db99c7f79643b2865e2a1a2f80d9e0,yes,4,"되는 시간을 퍼널 이탈자 대상 CRM으로 소구 예정
수동 / 자동화 여부
외부툴(되는 시간 도입)
회의를 통해 결정되어야하는 부분들
[참고] @mention"
2023-01-13,[23/01/13] 그로스팀 주간회의,0fb737e9-1289-4c10-8c55-7c5829c4cfbf,https://www.notion.so/23-01-13-0fb737e912894c108c557c5829c4cfbf,yes,5,"회원가입 전환율 n%
프로필 등록 전환율 n%
취업코칭 신청 전환율 n%
메인→인텔리픽 랜딩 전환율 n%
Obj2: 기계화, 실험 공장의 서막"
2023-01-13,"내배캠, 항해 서류 자동화 미팅_230113",cda42718-1998-457e-a06d-bfd6a574a3d4,https://www.notion.so/_230113-cda427181998457ea06dbfd6a574a3d4,yes,5,"현재 항해 application_1_view → 1차 지원 전환율 : 30%
항해/내배캠 퍼널에 1차 지원 페이지 조회 단계 추가 필요
항해/내배캠 퍼널 재구성 (1차 지원 페이지 조회만/application_1_view 단계 추가)
보류 퍼널 신규 생성
서류 보류 퍼널 생성 필요"
2023-01-13,전사 데이터 클리닝 기획 회의_230130,edeaeec5-d65c-4517-b54e-18b1b859c418,https://www.notion.so/_230130-edeaeec5d65c4517b54e18b1b859c418,yes,5,"최근에 면접노쇼, 재조율 퍼널 추가해서 문제 해결해둠.
기존의 리드수, 결제수는 정확함. 그 사이 퍼널에서 보는 중요 구간 2개가 10%정도 오류
기수별 데이터 (lac, 전환율).
문제는 3가지. 1) 볼 수 없음. 봐도 잘 못 봄 - 2) 데이터 정합성X, 3) 해석X
리드별 퍼널 이동 시간"
2023-01-13,"항해, 온라인 토스페이 도입 논의_230127",9a4d9df5-179a-4de8-9e33-b6b2d2544700,https://www.notion.so/_230127-9a4d9df5179a4de89e33b6b2d2544700,yes,5,"온라인 도입 시 개발 리소스 최소 1주일~1개월 소요 예상.
개발 리소스가 … (3월 런칭 예정)
BNPL(후불 결제) 도입
(온라인) 토스 페이 간편결제 도입
그만큼의 기대 효과 확실할지"
2023-01-16,[23/01/16] 그로스팀 파트별 주간 기획 회의,f0355372-1d34-44a5-9460-490c6820e4b0,https://www.notion.so/23-01-16-f03553721d3444a59460490c6820e4b0,yes,5,"⇒ 1차, 2차 A/B test 재실험 - B 개선안으로?
항해 퍼널 A/B. B가 1차완료 유의미하게 지고 있고, 2차는 통계적 유의성 없음. GUI/UI적 사용성 중요하다는 배움. 원클릭 vs 드롭다운 차이 있음. 마케팅 정보 위해(e.g. 학력 상태에 대한 상세 문항) 문항 수 많은데, 어떻게 써먹을지 창윤/은진 등께 확실히 묻고 과감하게 문항 줄이는 것 필요할수도.
“로그인 없이 우피 가이드로 넘어가면 전환율이 높아질 것이다”를 작게 / 유효하게 실험할 수 있는 방법은 무엇일까?
⇒ 내배캠 사전알림신청자 대상 세일즈콜, 블로그 후기 작성 유도, 마케팅 소재 링크에 우피 가이드 포함, 로그인 없이 우피 볼 수 있게 한 뒤 전환율 실험
A/B테스트 PRD처럼, PRD표준화/ PM리뷰 도입 등 문서화 가속 고민."
2023-01-18,[23/01/18] 그로스팀 중간점검,27d5ada0-2022-428f-aacb-22607149eb8a,https://www.notion.so/23-01-18-27d5ada02022428faacb22607149eb8a,yes,5,"P-max off → 45세 이상 리드 줄고, 결제 수는 비슷해서 전환율이 올라감
미소지자 전환율 감소 : 지난 주에 리드가 많으면 전환율이 줄어든다.
일반회원 랜딩페이지 A/B 테스트
미소지자 전환 - 이슈 없음 / 다음주 국카퀴즈를 퍼널에 적극 활용 예정.
내배단 : 미소지자 전환 ‘국카퀴즈’ 퍼널에 활용 예정. 리드일 기준 전환 대시보드 작업 진행 중"
2023-01-19,[23/01/20] 그로스팀 주간회고,c741fcdb-7c54-4dca-8dbe-cdabb8488830,https://www.notion.so/23-01-20-c741fcdb7c544dca8dbecdabb8488830,yes,5,"[2] 이번 주 주요 액션과 성과
1,2차 지원 페이지 개선 ABT 기획 및 디자인 완료.
문서화 - 온트랙. A/B Test 문서부터 고도화&리뷰 시작. 인텔리픽/항해에서 각 1건씩 기준에 맞게 작성.
[3] 다음 주 해결하고 싶은 문제
면접관 플레이북 배포, 업데이트 중"
